"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Eland","Mixed","Mixed_Open",500,4562.5,960979463.888899,210625.635920855,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",210625.635920855,0,0,210626,0
"Elephant","Mixed","Large_Mixed",3500,31937.5,1089468992.45948,34112.5320535259,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",34112.5320535259,0,0,34113,0
"Gemsbok","Mixed","Arid_Mixed",210,1916.25,956268117.718383,499030.981196808,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",499030.981196808,0,0,499031,0
"Giraffe","Browser","Woodland_Browser",850,7756.25,1212024065.2855,156264.18247033,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",156264.18247033,0,0,156264,0
"Hartmann's zebra","Grazer","Arid_Grazer",280,2555,679465240.24563,265935.514773241,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",265935.514773241,0,0,265936,0
"Hippopotamus","Grazer","Wetland_Grazer",1400,12775,167229228.098172,13090.3505360604,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",13090.3505360604,0,0,13090,0
"Impala","Mixed","Mixed_Open",50,456.25,960979463.888899,2106256.35920855,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",2106256.35920855,0,0,2106256,0
"Klipspringer","Browser","Rocky_Browser",11,100.375,1066389292.27588,10624052.7250399,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",10624052.7250399,0,0,10624053,0
"Kudu","Browser","Woodland_Browser",190,1733.75,1212024065.2855,699076.605788319,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",699076.605788319,0,0,699077,0
"Leopard","Carnivore","Carnivore",50,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",,,,,
"Ostrich","Mixed","Mixed_Open",100,912.5,960979463.888899,1053128.17960427,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",1053128.17960427,0,0,1053128,0
"Red Hartebeest","Grazer","General_Grazer",150,1368.75,547962312.761528,400337.762748148,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",400337.762748148,0,0,400338,0
"Red Lechwe","Grazer","Wetland_Grazer",80,730,167229228.098172,229081.134381058,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",229081.134381058,0,0,229081,0
"Reedbuck","Grazer","Wetland_Grazer",45,410.625,167229228.098172,407255.350010769,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",407255.350010769,0,0,407255,0
